"AJUNUM","AJUFEC","PRODCOD","AJUCAN","AJUOBS","","","","","","","",""
"2","20130107","080","100","","","","","","","","",""
"3","20130107","081","100","","","","","","","","",""
"4","20130107","0102","100","","","","","","","","",""
"5","20130107","0103","100","","","","","","","","",""
"6","20130107","083","100","","","","","","","","",""
"7","20130107","084","100","","","","","","","","",""
"8","20130107","085","100","","","","","","","","",""
"9","20130107","086","100","","","","","","","","",""
"10","20130107","087","100","","","","","","","","",""
"11","20130107","088","100","","","","","","","","",""
"12","20130107","089","100","","","","","","","","",""
"13","20130107","090","100","","","","","","","","",""
"14","20130107","091","100","","","","","","","","",""
"15","20130107","092","100","","","","","","","","",""
"18","20130107","095","100","","","","","","","","",""
"19","20130107","098","100","","","","","","","","",""
"20","20130107","099","100","","","","","","","","",""
"21","20130107","0100","100","","","","","","","","",""
"22","20130107","0101","100","","","","","","","","",""
"23","20130107","0104","100","","","","","","","","",""
"24","20130107","0105","100","","","","","","","","",""
"25","20130107","0106","100","","","","","","","","",""
"26","20130107","401","100","","","","","","","","",""
"27","20130107","402","100","","","","","","","","",""
"28","20130107","403","100","","","","","","","","",""
"29","20130107","404","100","","","","","","","","",""
"30","20130107","407","100","","","","","","","","",""
"31","20130107","408","100","","","","","","","","",""
"32","20130107","409","100","","","","","","","","",""
"33","20130107","410","100","","","","","","","","",""
"34","20130107","411","100","","","","","","","","",""
"35","20130107","412","100","","","","","","","","",""
"36","20130107","413","100","","","","","","","","",""
"37","20130107","414","100","","","","","","","","",""
"38","20130107","415","100","","","","","","","","",""
"39","20130107","416","100","","","","","","","","",""
"40","20130107","418","100","","","","","","","","",""
"43","20130107","417","100","","","","","","","","",""
"46","20130110","01","100","","","","","","","","",""
"47","20130110","02","100","","","","","","","","",""
"49","20130110","04","100","","","","","","","","",""
"50","20130110","05","100","","","","","","","","",""
"52","20130110","07","100","","","","","","","","",""
"54","20130110","08","100","","","","","","","","",""
"55","20130110","09","100","","","","","","","","",""
"56","20130110","10","100","","","","","","","","",""
"57","20130110","11","100","","","","","","","","",""
"58","20130110","12","100","","","","","","","","",""
"59","20130110","13","100","","","","","","","","",""
"60","20130110","14","100","","","","","","","","",""
"61","20130110","15","100","","","","","","","","",""
"62","20130110","16","100","","","","","","","","",""
"63","20130110","18","100","","","","","","","","",""
"64","20130110","19","100","","","","","","","","",""
"65","20130110","020","100","","","","","","","","",""
"66","20130110","021","100","","","","","","","","",""
"67","20130110","022","100","","","","","","","","",""
"68","20130110","20","100","","","","","","","","",""
"69","20130110","21","100","","","","","","","","",""
"70","20130110","22","100","","","","","","","","",""
"71","20130110","23","100","","","","","","","","",""
"72","20130110","24","100","","","","","","","","",""
"73","20130110","25","100","","","","","","","","",""
"74","20130110","26","100","","","","","","","","",""
"75","20130110","27","100","","","","","","","","",""
"76","20130110","28","100","","","","","","","","",""
"77","20130110","29","100","","","","","","","","",""
"78","20130110","30","100","","","","","","","","",""
"79","20130110","31","100","","","","","","","","",""
"80","20130110","32","100","","","","","","","","",""
"81","20130110","33","100","","","","","","","","",""
"83","20130110","36","100","","","","","","","","",""
"84","20130110","37","100","","","","","","","","",""
"85","20130110","38","100","","","","","","","","",""
"86","20130110","39","100","","","","","","","","",""
"89","20130110","023","100","","","","","","","","",""
"90","20130110","024","100","","","","","","","","",""
"127","20130227","0100","-2","","","","","","","","",""
"129","20130227","080","-82","","","","","","","","",""
"130","20130227","081","-73","","","","","","","","",""
"131","20130227","083","-69","","","","","","","","",""
"133","20130227","084","-85","","","","","","","","",""
"134","20130227","085","-75","","","","","","","","",""
"135","20130227","086","-81","","","","","","","","",""
"136","20130227","087","-83","","","","","","","","",""
"137","20130227","088","-85","","","","","","","","",""
"138","20130227","089","-80","","","","","","","","",""
"139","20130227","090","-81","","","","","","","","",""
"140","20130227","091","-82","","","","","","","","",""
"141","20130227","092","-78","","","","","","","","",""
"142","20130227","095","-80","","","","","","","","",""
"143","20130227","098","-81","","","","","","","","",""
"144","20130227","099","-77","","","","","","","","",""
"145","20130227","0100","-72","","","","","","","","",""
"146","20130227","0101","-83","","","","","","","","",""
"147","20130227","0102","-81","","","","","","","","",""
"148","20130227","0103","-75","","","","","","","","",""
"149","20130227","0104","-73","","","","","","","","",""
"150","20130227","0105","-2","","","","","","","","",""
"151","20130227","0106","-93","","","","","","","","",""
"152","20130227","401","-77","","","","","","","","",""
"153","20130227","402","-75","","","","","","","","",""
"154","20130227","403","-78","","","","","","","","",""
"155","20130227","403","-78","","","","","","","","",""
"157","20130227","403","78","","","","","","","","",""
"158","20130227","404","-81","","","","","","","","",""
"161","20130227","407","-76","","","","","","","","",""
"162","20130227","408","-81","","","","","","","","",""
"163","20130227","409","-77","","","","","","","","",""
"164","20130227","410","-79","","","","","","","","",""
"165","20130227","411","-78","","","","","","","","",""
"166","20130227","412","-79","","","","","","","","",""
"167","20130227","413","-69","","","","","","","","",""
"168","20130227","414","-81","","","","","","","","",""
"169","20130227","415","-78","","","","","","","","",""
"170","20130227","416","-82","","","","","","","","",""
"171","20130227","417","-82","","","","","","","","",""
"172","20130227","418","-82","","","","","","","","",""
"174","20130227","080","2","","","","","","","","",""
"175","20130227","081","1","","","","","","","","",""
"176","20130227","083","2","","","","","","","","",""
"177","20130227","086","2","","","","","","","","",""
