"CONNUM","CONFEC","CONDES","CONCLI","CONVEN","CONCANDEB","CONCANHAB","","","","","","","",""
"4495","20190103","10 VARILLAS 2.30","1238","0","23","0","","","","","","","",""
"4496","20190103","22 FRASCOS 260 ML 9","1238","0","198","0","","","","","","","",""
"4497","20190103","22 GATILLOS 12.50","1238","0","275","0","","","","","","","",""
"4498","20190103","10 ENVASE 125 ML $ 6","1471","0","60","0","","","","","","","",""
"4499","20190103","40 VARILLAS 2.30","1471","0","92","0","","","","","","","",""
"4500","20190104","10 GATILLOS $ 12.50","1238","0","125","0","","","","","","","",""
"4501","20190104","20 VARILLAS $ 2.30","1238","0","46","0","","","","","","","",""
"4502","20190104","10 ENVASES 260ML 9","1443","0","90","0","","","","","","","",""
"4503","20190104","80 FRASCOS 9.35","1471","0","748","0","","","","","","","",""
"4504","20190104","DEV 31 PERFUMINAS $ 69.55","1186","0","0","2159.15","","","","","","","",""
"4505","20190108","20 ENVASES 250  ML $ 10.30","1571","0","206","0","","","","","","","",""
"4506","20190108","20 GATILLOS $ 16.60","1571","0","332","0","","","","","","","",""
"4507","20190109","FLETE SAHUMERIOS","1238","0","80","0","","","","","","","",""
"4508","20190109","FLETE SAHUMERIOS","1443","0","53","0","","","","","","","",""
"4509","20190109","FLETE SAHUMERIOS","1471","0","120","0","","","","","","","",""
"4510","20190109","15 VARILLAS 2.30","1443","0","34.5","0","","","","","","","",""
"4511","20190109","15 FRASCOS 260 ML $ 9","1443","0","135","0","","","","","","","",""
"4512","20190109","10 FRASCOS 125 ML $6","1238","0","60","0","","","","","","","",""
"4513","20190109","10 FRASCOS 260 ML $ 9","1238","0","90","0","","","","","","","",""
"4514","20190109","30 GATILLOS $ 12.50","1471","0","375","0","","","","","","","",""
"4515","20190109","15 ENVASES 125 ML 6","1471","0","90","0","","","","","","","",""
"4516","20190109","10 TAPAS","1238","0","10","0","","","","","","","",""
"4517","20190110","COMI SUSANA VERGARA","1593","0","0","606.56","","","","","","","",""
"4518","20190110","50 % PONY","1593","0","475","0","","","","","","","",""
"4519","20190111","5 GATILLOS $ 12.50","1443","0","62.5","0","","","","","","","",""
"4520","20190111","10 FRASCOS 125 ML $ 6","1443","0","60","0","","","","","","","",""
"4521","20190111","10 FRASCOS 250 ML $ 9","1443","0","90","0","","","","","","","",""
"4522","20190111","10 FRASCOS 500 ML $ 9.35","1443","0","93.5","0","","","","","","","",""
"4523","20190115","80 FRASCOS DE 500 ML $ 9.35","1238","0","748","0","","","","","","","",""
"4524","20190115","DEVOLUCION 50 % DE OCA","1663","0","0","837.93","","","","","","","",""
"4525","20190116","10 VARILLAS 2.30","1443","0","23","0","","","","","","","",""
"4526","20190116","10 FRASCOS 500 ML 9.35","1443","0","93.5","0","","","","","","","",""
"4527","20190117","MOVISTAR","1238","0","565","0","","","","","","","",""
"4528","20190117","MOVISTAR","1471","0","500","0","","","","","","","",""
"4529","20190117","20 VARILLAS 2.30","1238","0","46","0","","","","","","","",""
"4530","20190118","10 % DESCUENTO PAGO CONTADO","76","0","0","19485.11","","","","","","","",""
