"FACLET","FACPV","FACNUM","PRODCOD","FACCAN","FACPRE","","","","","","","",""
"E","NaN","815","650","6","73","","","","","","","",""
"E","NaN","815","651","12","73","","","","","","","",""
"E","NaN","815","655","12","73","","","","","","","",""
"E","NaN","815","658","12","73","","","","","","","",""
"E","NaN","815","659","12","73","","","","","","","",""
"E","NaN","815","660","12","73","","","","","","","",""
"E","NaN","815","663","6","73","","","","","","","",""
"E","NaN","815","664","12","73","","","","","","","",""
"E","NaN","815","667","12","73","","","","","","","",""
"E","NaN","815","669","6","73","","","","","","","",""
"E","NaN","816","02","6","186.5","","","","","","","",""
"E","NaN","816","021","6","186.5","","","","","","","",""
"E","NaN","816","022","12","186.5","","","","","","","",""
"E","NaN","816","023","6","186.5","","","","","","","",""
"E","NaN","816","028","6","186.5","","","","","","","",""
"E","NaN","816","030","6","186.5","","","","","","","",""
"E","NaN","816","032","12","186.5","","","","","","","",""
"E","NaN","816","05","6","186.5","","","","","","","",""
"E","NaN","816","105","6","76.8","","","","","","","",""
"E","NaN","816","108","6","76.8","","","","","","","",""
"E","NaN","816","114","6","76.8","","","","","","","",""
"E","NaN","816","115","6","76.8","","","","","","","",""
"E","NaN","816","118","6","76.8","","","","","","","",""
"E","NaN","816","1203","6","98.7","","","","","","","",""
"E","NaN","816","1206","6","98.73","","","","","","","",""
"E","NaN","816","1213","6","98.7","","","","","","","",""
"E","NaN","816","1224","6","98.7","","","","","","","",""
"E","NaN","816","124","6","76.8","","","","","","","",""
"E","NaN","816","1251","6","98.7","","","","","","","",""
"E","NaN","816","1254","6","98.7","","","","","","","",""
"E","NaN","816","1255","6","98.7","","","","","","","",""
"E","NaN","816","14","6","186.5","","","","","","","",""
"E","NaN","816","194","6","76.8","","","","","","","",""
"E","NaN","816","25","6","186.5","","","","","","","",""
"E","NaN","816","26","6","186.5","","","","","","","",""
"E","NaN","816","28","6","186.5","","","","","","","",""
"E","NaN","816","3000","6","46.7","","","","","","","",""
"E","NaN","816","31","6","186.5","","","","","","","",""
"E","NaN","816","40","12","186.5","","","","","","","",""
"E","NaN","816","43","6","186.5","","","","","","","",""
"E","NaN","816","44","6","186.5","","","","","","","",""
"E","NaN","816","45","6","186.5","","","","","","","",""
"E","NaN","816","72","6","76.8","","","","","","","",""
"E","NaN","816","86","6","76.8","","","","","","","",""
"E","NaN","816","SS","6","52","","","","","","","",""
"E","NaN","817","650","6","73","","","","","","","",""
"E","NaN","817","651","6","73","","","","","","","",""
"E","NaN","817","652","6","73","","","","","","","",""
"E","NaN","817","659","6","73","","","","","","","",""
"E","NaN","817","660","6","73","","","","","","","",""
"E","NaN","817","663","6","73","","","","","","","",""
"E","NaN","817","667","6","73","","","","","","","",""
"E","NaN","817","671","6","73","","","","","","","",""
"E","NaN","818","020","6","186.5","","","","","","","",""
"E","NaN","818","023","6","186.5","","","","","","","",""
"E","NaN","818","028","6","186.5","","","","","","","",""
"E","NaN","818","05","6","186.5","","","","","","","",""
"E","NaN","818","10","6","186.5","","","","","","","",""
"E","NaN","818","114","6","76.8","","","","","","","",""
"E","NaN","818","115","6","76.8","","","","","","","",""
"E","NaN","818","116","6","76.8","","","","","","","",""
"E","NaN","818","1215","6","98.7","","","","","","","",""
"E","NaN","818","124","6","76.8","","","","","","","",""
"E","NaN","818","1253","6","98.7","","","","","","","",""
"E","NaN","818","1254","6","98.7","","","","","","","",""
"E","NaN","818","14","6","186.5","","","","","","","",""
"E","NaN","818","1901","6","45.2","","","","","","","",""
"E","NaN","818","25","6","186.5","","","","","","","",""
"E","NaN","818","3002","6","46.7","","","","","","","",""
"E","NaN","818","3003","6","46.7","","","","","","","",""
"E","NaN","818","72","6","76.8","","","","","","","",""
"E","NaN","818","82","6","76.8","","","","","","","",""
"E","NaN","818","91","6","76.8","","","","","","","",""
"E","NaN","819","020","6","196.5","","","","","","","",""
"E","NaN","819","022","6","196.5","","","","","","","",""
"E","NaN","819","029","6","196.5","","","","","","","",""
"E","NaN","819","031","6","196.5","","","","","","","",""
"E","NaN","819","105","6","80.6","","","","","","","",""
"E","NaN","819","114","6","80.6","","","","","","","",""
"E","NaN","819","118","6","80.6","","","","","","","",""
