"FACLET","FACPV","FACNUM","FACFEC","FACREMNUM","CLICOD","USUCOD","VENCOD","FACIVA","FACNET","ESTCOD","FACOFINUM","FACDES","","","","","","","",""
"E","NaN","815","20190115","8651","943","1","20","0","7446","T","2329","0","","","","","","","",""
"E","NaN","816","20190115","8650","943","1","20","0","31264.98","T","2330","0","","","","","","","",""
"E","NaN","817","20190115","8653","944","1","20","0","3504","T","2331","0","","","","","","","",""
"E","NaN","818","20190115","8652","944","1","20","0","13666.8","T","2332","0","","","","","","","",""
"E","NaN","819","20190425","9326","944","1","20","0","18590.4","T","2333","0","","","","","","","",""
"E","NaN","820","20190425","9327","944","1","20","0","3366","T","2334","0","","","","","","","",""
"E","NaN","821","20190425","9330","943","1","20","0","31097.4","T","2335","0","","","","","","","",""
"E","NaN","822","20190425","9332","943","1","20","0","4039.2","T","2336","0","","","","","","","",""
"E","NaN","823","20190624","9744","943","1","20","0","16647.6","T","2337","0","","","","","","","",""
"E","NaN","824","20190624","9745","943","1","20","0","2718","T","2338","0","","","","","","","",""
"E","NaN","825","20190624","9746","944","1","20","0","9585.6","T","2339","0","","","","","","","",""
"E","NaN","826","20190624","9747","944","1","20","0","453","T","2340","0","","","","","","","",""
"E","NaN","851","20190919","10378","943","1","20","0","31924.8","T","2341","0","","","","","","","",""
"E","NaN","852","20190919","10379","943","1","20","0","3553.2","T","2342","0","","","","","","","",""
"E","NaN","853","20191128","10863","943","1","20","0","33696","T","2343","0","","","","","","","",""
"E","NaN","854","20191128","10864","943","1","20","0","9604","T","2344","0","","","","","","","",""
"E","NaN","855","20191128","10865","943","1","20","0","6450","T","2345","0","","","","","","","",""
"E","NaN","856","20191128","10866","944","1","20","0","40570","T","2346","0","","","","","","","",""
"E","NaN","857","20191128","10867","944","1","20","0","5262","T","2347","0","","","","","","","",""
"E","NaN","858","20200210","11270","944","1","20","0","25980","T","2348","0","","","","","","","",""
"E","NaN","859","20200210","11271","944","1","20","0","1188","T","2349","0","","","","","","","",""
"E","NaN","860","20200211","11274","943","1","20","0","30798","T","2350","0","","","","","","","",""
"E","NaN","861","20200211","11275","943","1","20","0","2673","T","2351","0","","","","","","","",""
"E","NaN","862","20200326","11556","1821","1","4","0","75000","T","2352","0","","","","","","","",""
"E","NaN","863","20200413","11624","943","1","20","0","98000","T","2353","0","","","","","","","",""
"E","NaN","864","20200506","11738","943","1","20","0","19056","T","2354","0","","","","","","","",""
"E","NaN","865","20200506","11739","943","1","20","0","3267","T","2355","0","","","","","","","",""
"E","NaN","866","20200826","12279","944","1","20","0","36636","T","2356","0","","","","","","","",""
"E","NaN","867","20200826","12280","943","1","20","0","47487.6","T","2357","0","","","","","","","",""
