"PAGNUM","PAGFEC","CLICOD","","","","","","","",""
"5916","20190102","1187","","","","","","","",""
"5917","20190102","1663","","","","","","","",""
"5918","20190102","1186","","","","","","","",""
"5919","20190103","1271","","","","","","","",""
"5920","20190103","1238","","","","","","","",""
"5921","20190103","1238","","","","","","","",""
"5922","20190103","1443","","","","","","","",""
"5923","20190103","1443","","","","","","","",""
"5924","20190103","1471","","","","","","","",""
"5925","20190103","942","","","","","","","",""
"5926","20190103","1708","","","","","","","",""
"5927","20190103","107","","","","","","","",""
"5928","20190103","1753","","","","","","","",""
"5929","20190103","628","","","","","","","",""
"5930","20190104","1015","","","","","","","",""
"5931","20190104","1042","","","","","","","",""
"5932","20190104","1207","","","","","","","",""
"5933","20190104","888","","","","","","","",""
"5934","20190104","1756","","","","","","","",""
"5935","20190104","1186","","","","","","","",""
"5936","20190104","1698","","","","","","","",""
"5937","20190104","1747","","","","","","","",""
"5938","20190104","1234","","","","","","","",""
"5939","20190107","943","","","","","","","",""
"5940","20190107","944","","","","","","","",""
"5941","20190107","945","","","","","","","",""
"5942","20190107","1733","","","","","","","",""
"5943","20190107","1722","","","","","","","",""
"5944","20190107","1735","","","","","","","",""
"5945","20190107","673","","","","","","","",""
"5946","20190107","1729","","","","","","","",""
"5947","20190108","1758","","","","","","","",""
"5948","20190108","1000","","","","","","","",""
"5949","20190108","209","","","","","","","",""
"5950","20190108","946","","","","","","","",""
"5951","20190109","1221","","","","","","","",""
"5952","20190110","1270","","","","","","","",""
"5953","20190110","658","","","","","","","",""
"5954","20190110","1222","","","","","","","",""
"5955","20190110","1571","","","","","","","",""
"5956","20190110","1641","","","","","","","",""
"5957","20190111","747","","","","","","","",""
"5958","20190111","632","","","","","","","",""
"5959","20190111","1073","","","","","","","",""
"5960","20190111","623","","","","","","","",""
"5961","20190114","1651","","","","","","","",""
"5962","20190114","409","","","","","","","",""
"5963","20190114","1445","","","","","","","",""
"5964","20190115","163","","","","","","","",""
"5965","20190115","1735","","","","","","","",""
"5966","20190116","1707","","","","","","","",""
"5967","20190116","1165","","","","","","","",""
"5968","20190116","1475","","","","","","","",""
"5969","20190116","1720","","","","","","","",""
"5970","20190116","1615","","","","","","","",""
"5971","20190116","1203","","","","","","","",""
"5972","20190116","1666","","","","","","","",""
"5973","20190117","1278","","","","","","","",""
"5974","20190117","1333","","","","","","","",""
"5975","20190118","630","","","","","","","",""
"5976","20190118","76","","","","","","","",""
"5977","20190118","1648","","","","","","","",""
"5978","20190118","1515","","","","","","","",""
"5979","20190118","1762","","","","","","","",""
"5980","20190118","1729","","","","","","","",""
"5981","20190118","1750","","","","","","","",""
"5982","20190118","1754","","","","","","","",""
"5983","20190121","1752","","","","","","","",""
"5984","20190121","78","","","","","","","",""
