"PAGNUM","REMNUM","","","","","","","",""
"5916","7750","","","","","","","",""
"5916","7751","","","","","","","",""
"5917","7945","","","","","","","",""
"5917","7946","","","","","","","",""
"5919","7728","","","","","","","",""
"5920","8317","","","","","","","",""
"5920","8318","","","","","","","",""
"5920","8327","","","","","","","",""
"5920","8357","","","","","","","",""
"5920","8358","","","","","","","",""
"5920","8365","","","","","","","",""
"5920","8366","","","","","","","",""
"5920","8385","","","","","","","",""
"5920","8386","","","","","","","",""
"5920","8418","","","","","","","",""
"5920","8439","","","","","","","",""
"5920","8440","","","","","","","",""
"5920","8446","","","","","","","",""
"5920","8447","","","","","","","",""
"5920","8483","","","","","","","",""
"5920","8484","","","","","","","",""
"5920","8497","","","","","","","",""
"5920","8498","","","","","","","",""
"5920","8524","","","","","","","",""
"5920","8525","","","","","","","",""
"5921","8458","","","","","","","",""
"5921","8459","","","","","","","",""
"5922","8321","","","","","","","",""
"5922","8322","","","","","","","",""
"5922","8330","","","","","","","",""
"5922","8336","","","","","","","",""
"5922","8345","","","","","","","",""
"5922","8346","","","","","","","",""
"5922","8360","","","","","","","",""
"5922","8361","","","","","","","",""
"5922","8362","","","","","","","",""
"5922","8373","","","","","","","",""
"5922","8381","","","","","","","",""
"5922","8382","","","","","","","",""
"5922","8409","","","","","","","",""
"5922","8410","","","","","","","",""
"5922","8411","","","","","","","",""
"5922","8412","","","","","","","",""
"5922","8417","","","","","","","",""
"5922","8429","","","","","","","",""
"5922","8430","","","","","","","",""
"5922","8445","","","","","","","",""
"5922","8448","","","","","","","",""
"5922","8460","","","","","","","",""
"5922","8461","","","","","","","",""
"5922","8470","","","","","","","",""
"5922","8499","","","","","","","",""
"5922","8500","","","","","","","",""
"5922","8501","","","","","","","",""
"5922","8514","","","","","","","",""
"5922","8515","","","","","","","",""
"5922","8526","","","","","","","",""
"5922","8527","","","","","","","",""
"5922","8538","","","","","","","",""
"5922","8539","","","","","","","",""
"5923","8367","","","","","","","",""
"5923","8368","","","","","","","",""
"5923","8471","","","","","","","",""
"5923","8480","","","","","","","",""
"5924","8319","","","","","","","",""
"5924","8320","","","","","","","",""
"5924","8343","","","","","","","",""
"5924","8344","","","","","","","",""
"5924","8376","","","","","","","",""
"5924","8377","","","","","","","",""
"5924","8401","","","","","","","",""
"5924","8402","","","","","","","",""
"5924","8416","","","","","","","",""
"5924","8462","","","","","","","",""
"5924","8463","","","","","","","",""
"5924","8472","","","","","","","",""
"5924","8473","","","","","","","",""
"5924","8481","","","","","","","",""
"5924","8482","","","","","","","",""
"5924","8528","","","","","","","",""
"5924","8529","","","","","","","",""
"5925","8293","","","","","","","",""
"5926","8516","","","","","","","",""
"5927","7876","","","","","","","",""
"5928","8555","","","","","","","",""
"5928","8556","","","","","","","",""
"5929","8468","","","","","","","",""
"5930","7929","","","","","","","",""
"5931","7928","","","","","","","",""
"5932","7972","","","","","","","",""
"5933","8182","","","","","","","",""
"5934","8559","","","","","","","",""
"5935","7752","","","","","","","",""
"5937","7877","","","","","","","",""
"5938","8572","","","","","","","",""
"5939","7987","","","","","","","",""
"5939","7988","","","","","","","",""
"5940","7936","","","","","","","",""
"5940","7937","","","","","","","",""
"5941","7893","","","","","","","",""
"5941","7894","","","","","","","",""
"5942","7930","","","","","","","",""
"5942","7931","","","","","","","",""
"5943","7919","","","","","","","",""
"5943","7920","","","","","","","",""
"5944","8457","","","","","","","",""
"5946","8574","","","","","","","",""
"5946","8575","","","","","","","",""
"5947","8578","","","","","","","",""
"5948","8580","","","","","","","",""
"5949","8384","","","","","","","",""
"5949","8576","","","","","","","",""
"5949","8577","","","","","","","",""
"5950","8347","","","","","","","",""
"5950","8348","","","","","","","",""
"5951","8591","","","","","","","",""
"5951","8592","","","","","","","",""
"5952","8589","","","","","","","",""
"5952","8590","","","","","","","",""
"5953","8605","","","","","","","",""
"5953","8606","","","","","","","",""
"5954","8582","","","","","","","",""
"5954","8583","","","","","","","",""
"5955","8398","","","","","","","",""
"5955","8399","","","","","","","",""
"5956","8609","","","","","","","",""
"5956","8610","","","","","","","",""
"5957","7808","","","","","","","",""
"5958","7890","","","","","","","",""
"5959","7910","","","","","","","",""
"5960","8218","","","","","","","",""
"5961","8557","","","","","","","",""
"5961","8558","","","","","","","",""
"5962","8251","","","","","","","",""
"5962","8252","","","","","","","",""
"5962","8564","","","","","","","",""
"5962","8565","","","","","","","",""
"5963","8628","","","","","","","",""
"5964","7778","","","","","","","",""
"5964","7779","","","","","","","",""
"5965","8581","","","","","","","",""
"5966","8611","","","","","","","",""
"5966","8612","","","","","","","",""
"5967","7911","","","","","","","",""
"5967","7912","","","","","","","",""
"5968","7816","","","","","","","",""
"5968","7817","","","","","","","",""
"5969","6668","","","","","","","",""
"5970","8086","","","","","","","",""
"5970","8087","","","","","","","",""
"5971","7815","","","","","","","",""
"5972","5789","","","","","","","",""
"5973","8404","","","","","","","",""
"5973","8405","","","","","","","",""
"5974","8633","","","","","","","",""
"5975","8548","","","","","","","",""
"5976","8387","","","","","","","",""
"5976","8388","","","","","","","",""
"5976","8389","","","","","","","",""
"5976","8390","","","","","","","",""
"5977","8670","","","","","","","",""
"5977","8671","","","","","","","",""
"5979","8668","","","","","","","",""
"5979","8669","","","","","","","",""
"5980","8672","","","","","","","",""
"5981","8283","","","","","","","",""
"5982","8403","","","","","","","",""
"5983","8664","","","","","","","",""
"5984","8408","","","","","","","",""
"5985","8080","","","","","","","",""
"5985","8081","","","","","","","",""
"5985","8082","","","","","","","",""
"5986","8076","","","","","","","",""
"5986","8077","","","","","","","",""
"5986","8078","","","","","","","",""
"5987","8161","","","","","","","",""
"5988","8083","","","","","","","",""
"5989","8184","","","","","","","",""
"5989","8185","","","","","","","",""
"5989","8186","","","","","","","",""
"5989","8187","","","","","","","",""
"5990","8693","","","","","","","",""
"5991","8660","","","","","","","",""
"5992","8152","","","","","","","",""
"5992","8198","","","","","","","",""
"5992","8269","","","","","","","",""
"5992","8316","","","","","","","",""
"5992","8374","","","","","","","",""
"5992","8391","","","","","","","",""
"5992","8436","","","","","","","",""
"5992","8502","","","","","","","",""
"5992","8503","","","","","","","",""
"5992","8547","","","","","","","",""
"5992","8579","","","","","","","",""
"5992","8627","","","","","","","",""
"5992","8686","","","","","","","",""
"5993","7948","","","","","","","",""
"5997","8716","","","","","","","",""
"5997","8717","","","","","","","",""
"5998","7733","","","","","","","",""
"5998","7734","","","","","","","",""
"5999","7821","","","","","","","",""
"5999","7822","","","","","","","",""
"6000","7990","","","","","","","",""
"6000","7991","","","","","","","",""
"6001","8046","","","","","","","",""
"6002","8049","","","","","","","",""
"6002","8050","","","","","","","",""
"6003","8051","","","","","","","",""
"6004","8059","","","","","","","",""
"6004","8060","","","","","","","",""
"6005","8040","","","","","","","",""
"6005","8041","","","","","","","",""
"6006","8712","","","","","","","",""
"6008","8661","","","","","","","",""
"6009","8677","","","","","","","",""
"6011","8271","","","","","","","",""
"6012","8313","","","","","","","",""
"6013","8349","","","","","","","",""
"6014","8594","","","","","","","",""
"6014","8595","","","","","","","",""
"6015","8530","","","","","","","",""
"6015","8531","","","","","","","",""
"6015","8618","","","","","","","",""
"6015","8619","","","","","","","",""
"6015","8698","","","","","","","",""
"6016","8263","","","","","","","",""
"6017","8544","","","","","","","",""
"6017","8545","","","","","","","",""
"6017","8552","","","","","","","",""
"6017","8553","","","","","","","",""
"6017","8568","","","","","","","",""
"6017","8569","","","","","","","",""
"6017","8587","","","","","","","",""
"6017","8588","","","","","","","",""
"6017","8598","","","","","","","",""
"6017","8599","","","","","","","",""
"6017","8603","","","","","","","",""
"6017","8604","","","","","","","",""
"6017","8616","","","","","","","",""
"6017","8617","","","","","","","",""
"6017","8623","","","","","","","",""
"6017","8624","","","","","","","",""
"6017","8630","","","","","","","",""
"6017","8658","","","","","","","",""
"6017","8659","","","","","","","",""
"6017","8663","","","","","","","",""
"6017","8684","","","","","","","",""
"6017","8685","","","","","","","",""
"6017","8689","","","","","","","",""
"6017","8695","","","","","","","",""
"6017","8696","","","","","","","",""
"6017","8697","","","","","","","",""
"6017","8700","","","","","","","",""
"6017","8705","","","","","","","",""
"6017","8706","","","","","","","",""
"6017","8721","","","","","","","",""
"6017","8722","","","","","","","",""
"6017","8729","","","","","","","",""
"6017","8742","","","","","","","",""
"6017","8743","","","","","","","",""
"6017","8749","","","","","","","",""
"6017","8750","","","","","","","",""
"6018","8560","","","","","","","",""
"6018","8561","","","","","","","",""
"6018","8570","","","","","","","",""
"6018","8571","","","","","","","",""
"6018","8602","","","","","","","",""
"6018","8613","","","","","","","",""
"6018","8631","","","","","","","",""
"6018","8632","","","","","","","",""
"6018","8678","","","","","","","",""
"6018","8679","","","","","","","",""
"6018","8707","","","","","","","",""
"6018","8708","","","","","","","",""
"6018","8738","","","","","","","",""
"6018","8739","","","","","","","",""
"6019","8757","","","","","","","",""
"6020","8517","","","","","","","",""
"6021","8540","","","","","","","",""
"6021","8541","","","","","","","",""
"6021","8542","","","","","","","",""
"6021","8543","","","","","","","",""
"6021","8551","","","","","","","",""
"6021","8566","","","","","","","",""
"6021","8567","","","","","","","",""
"6021","8585","","","","","","","",""
"6021","8586","","","","","","","",""
"6021","8596","","","","","","","",""
"6021","8597","","","","","","","",""
"6021","8607","","","","","","","",""
"6021","8608","","","","","","","",""
"6021","8622","","","","","","","",""
"6021","8625","","","","","","","",""
"6021","8626","","","","","","","",""
"6021","8629","","","","","","","",""
"6021","8647","","","","","","","",""
"6021","8667","","","","","","","",""
"6021","8682","","","","","","","",""
"6021","8683","","","","","","","",""
"6021","8690","","","","","","","",""
"6021","8691","","","","","","","",""
"6021","8709","","","","","","","",""
"6021","8710","","","","","","","",""
"6021","8719","","","","","","","",""
"6021","8720","","","","","","","",""
"6021","8735","","","","","","","",""
"6021","8736","","","","","","","",""
"6022","8573","","","","","","","",""
"6023","8419","","","","","","","",""
"6024","8674","","","","","","","",""
"6025","8554","","","","","","","",""
"6025","8675","","","","","","","",""
"6026","8764","","","","","","","",""
"6027","8687","","","","","","","",""
"6027","8688","","","","","","","",""
"6028","8765","","","","","","","",""
"6028","8766","","","","","","","",""
"6029","8634","","","","","","","",""
"6029","8791","","","","","","","",""
"6030","8414","","","","","","","",""
"6031","8355","","","","","","","",""
"6031","8356","","","","","","","",""
"6032","8489","","","","","","","",""
"6034","8469","","","","","","","",""
"6034","8537","","","","","","","",""
"6034","8793","","","","","","","",""
"6034","8794","","","","","","","",""
"6035","8312","","","","","","","",""
"6036","8723","","","","","","","",""
"6037","8243","","","","","","","",""
"6038","8804","","","","","","","",""
"6039","8363","","","","","","","",""
"6040","8420","","","","","","","",""
"6040","8421","","","","","","","",""
"6041","8164","","","","","","","",""
"6042","8534","","","","","","","",""
"6043","8645","","","","","","","",""
"6043","8646","","","","","","","",""
"6044","8639","","","","","","","",""
"6044","8640","","","","","","","",""
"6045","8532","","","","","","","",""
"6045","8533","","","","","","","",""
"6046","8818","","","","","","","",""
"6047","7513","","","","","","","",""
"6048","8047","","","","","","","",""
"6048","8048","","","","","","","",""
"6049","8069","","","","","","","",""
"6049","8070","","","","","","","",""
"6050","8071","","","","","","","",""
"6051","8072","","","","","","","",""
"6051","8073","","","","","","","",""
