"PAGNUM","PAGSEC","PAGTIP","PAGIMP","PAGCHENUM","PAGCHEBAN","PAGCHEEST","PAGOBS","","","","","","","",""
"192","1","Efectivo","1456.6","","","","","","","","","","","",""
"1609","1","Cheque","11624.67","13496723","CHUBUT","","","","","","","","","",""
"1658","1","Otros","2555.72","","PAGO ERIC","","","","","","","","","",""
"2018","1","Efectivo","3055.54","","","","","","","","","","","",""
"2095","1","Deposito","1266.3","","NACION","","","","","","","","","",""
"2209","1","Efectivo","1706.7","","","","","","","","","","","",""
"2226","1","Efectivo","2217.4","","","","","","","","","","","",""
"3023","1","Efectivo","3053.16","","","","","","","","","","","",""
"3040","1","Efectivo","1275.99","","","","","","","","","","","",""
"3062","1","Efectivo","1629.87","","","","","","","","","","","",""
"3127","1","Efectivo","5484.9","","","","","","","","","","","",""
"3305","1","Efectivo","3226.89","","","","","","","","","","","",""
"3306","1","Efectivo","479.1","","","","","","","","","","","",""
"3652","1","Efectivo","1381.2","","","","","","","","","","","",""
"3666","1","Efectivo","2173.16","","","","","","","","","","","",""
"3949","1","Efectivo","0","","","","","","","","","","","",""
"4227","1","Efectivo","1734.5","","","","","","","","","","","",""
"4381","1","Efectivo","2048.4","","","","","","","","","","","",""
"5041","1","Efectivo","80988.2","","","","","","","","","","","",""
"5597","1","Cheque","2284.2","44513080","CREDICOOP","","","","","","","","","",""
"5597","2","Cheque","2284.2","45890281","CREDICOOP","","","","","","","","","",""
"5916","1","Cheque","5601.29","90162395","MACRO","","","","","","","","","",""
"5916","2","Efectivo","444.72","","","","","","","","","","","",""
"5917","1","Cheque","8691","46946686","CREDICOOP","","","","","","","","","",""
"5918","1","Cheque","4000","01545524","NACION","","","","","","","","","",""
"5918","2","Cheque","1000","61517038","PROVINCIA","","","","","","","","","",""
"5918","3","Cheque","2500","56154134","PROVINCIA","","","","","","","","","",""
"5919","1","Otros","2490","","YERBA Y FLETE","","","","","","","","","",""
"5920","1","Cheque","1874","02267727","NACION","","","","","","","","","",""
"5920","2","Cheque","37000","46733723","CREDICOOP","","","","","","","","","",""
"5920","3","Cheque","11000","41563140","CREDICOOP","","","","","","","","","",""
"5920","4","Efectivo","35000","","","","","","","","","","","",""
"5922","1","Efectivo","86000","","","","","","","","","","","",""
"5924","0","Cheque","40000","32362057","CREDICOO","","","","","","","","","",""
"5924","2","Cheque","50000","32362056","CREDICOOP","","","","","","","","","",""
"5924","3","Efectivo","50000","","","","","","","","","","","",""
"5925","1","Deposito","7275","","CREDICOOP","","","","","","","","","",""
"5926","1","Deposito","2796","","CREDICOOP","","","","","","","","","",""
"5927","1","Deposito","2800","","NACION","","","","","","","","","",""
"5928","1","Efectivo","530","","","","","","","","","","","",""
"5929","1","Deposito","8300","","CREDICOOP","","","","","","","","","",""
"5930","1","Efectivo","4497.11","","","","","","","","","","","",""
"5931","1","Efectivo","4497.1","","","","","","","","","","","",""
"5932","1","Efectivo","11848.42","","","","","","","","","","","",""
"5933","1","Efectivo","10323.56","","","","","","","","","","","",""
"5934","1","Efectivo","1963.5","","","","","","","","","","","",""
"5936","1","Efectivo","2000","","","","","","","","","","","",""
"5937","1","Efectivo","3189.75","","","","","","","","","","","",""
"5938","1","Deposito","5025","","CREDICOOP","","","","","","","","","",""
"5939","1","Cheque","31114.5","15465689","PATAGONIA","","","","","","","","","",""
"5940","1","Cheque","15476.5","15465689","PATAGONIA","","","","","","","","","",""
"5941","1","Cheque","17425.45","04628934","SANTA CRUZ","","","","","","","","","",""
"5942","1","Cheque","22806.86","04624919","SANTA CRUZ","","","","","","","","","",""
"5943","1","Cheque","9497.17","04625060","SANTA CRUZ","","","","","","","","","",""
"5944","1","Efectivo","2050.26","","","","","","","","","","","",""
"5945","1","Deposito","12000","","CREDICOOP","","","","","","","","","",""
"5946","1","Efectivo","5900","","","","","","","","","","","",""
"5947","1","Efectivo","7300","","","","","","","","","","","",""
"5948","1","Efectivo","3379.2","","","","","","","","","","","",""
"5949","1","Efectivo","2071.15","","","","","","","","","","","",""
"5950","1","Cheque","4732.63","87694488","MACRO","","","","","","","","","",""
"5950","2","Otros","49.41","","RETENCION","","","","","","","","","",""
"5951","1","Efectivo","7302.8","","","","","","","","","","","",""
"5952","1","Deposito","3270.8","","CREDICOOP","","","","","","","","","",""
"5953","1","Efectivo","6566.86","","","","","","","","","","","",""
