"PRODCOD","COMCOD","COMCAN","","","","","","","",""
"20","FRASCO50","1","","","","","","","",""
"20","TAPAP","1","","","","","","","",""
"20","VALV P","1","","","","","","","",""
"05","FRASCO50","1","","","","","","","",""
"05","TAPAD","1","","","","","","","",""
"05","VALV D","1","","","","","","","",""
"07","FRASCO50","1","","","","","","","",""
"07","TAPAD","1","","","","","","","",""
"07","VALV D","1","","","","","","","",""
"08","FRASCO50","1","","","","","","","",""
"08","TAPAD","1","","","","","","","",""
"08","VALV D","1","","","","","","","",""
"09","FRASCO50","1","","","","","","","",""
"09","TAPAD","1","","","","","","","",""
"09","VALV D","1","","","","","","","",""
"10","FRASCO50","1","","","","","","","",""
"10","TAPAD","1","","","","","","","",""
"10","VALV D","1","","","","","","","",""
"11","FRASCO50","1","","","","","","","",""
"11","TAPAD","1","","","","","","","",""
"11","VALV D","1","","","","","","","",""
"12","FRASCO50","1","","","","","","","",""
"12","TAPAD","1","","","","","","","",""
"12","VALV D","1","","","","","","","",""
"13","FRASCO50","1","","","","","","","",""
"13","TAPAD","1","","","","","","","",""
"13","VALV D","1","","","","","","","",""
"14","FRASCO50","1","","","","","","","",""
"14","TAPAD","1","","","","","","","",""
"14","VALV D","1","","","","","","","",""
"15","FRASCO50","1","","","","","","","",""
"15","TAPAD","1","","","","","","","",""
"15","VALV D","1","","","","","","","",""
"16","FRASCO50","1","","","","","","","",""
"16","TAPAD","1","","","","","","","",""
"16","VALV D","1","","","","","","","",""
"18","FRASCO50","1","","","","","","","",""
"18","TAPAD","1","","","","","","","",""
"18","VALV D","1","","","","","","","",""
"19","FRASCO50","1","","","","","","","",""
"19","TAPAD","1","","","","","","","",""
"19","VALV D","1","","","","","","","",""
"21","FRASCO50","1","","","","","","","",""
"21","TAPAP","1","","","","","","","",""
"21","VALV P","1","","","","","","","",""
"22","FRASCO50","1","","","","","","","",""
"22","TAPAP","1","","","","","","","",""
"22","VALV P","1","","","","","","","",""
"24","FRASCO50","1","","","","","","","",""
"24","TAPAP","1","","","","","","","",""
"24","VALV P","1","","","","","","","",""
"25","FRASCO50","1","","","","","","","",""
"25","TAPAP","1","","","","","","","",""
"25","VALV P","1","","","","","","","",""
"26","FRASCO50","1","","","","","","","",""
"26","TAPAP","1","","","","","","","",""
"26","VALV P","1","","","","","","","",""
"27","FRASCO50","1","","","","","","","",""
"27","TAPAP","1","","","","","","","",""
"27","VALV P","1","","","","","","","",""
"28","FRASCO50","1","","","","","","","",""
"28","TAPAP","1","","","","","","","",""
"28","VALV P","1","","","","","","","",""
"31","FRASCO50","1","","","","","","","",""
"31","TAPAP","1","","","","","","","",""
"31","VALV P","1","","","","","","","",""
"33","FRASCO50","1","","","","","","","",""
"33","TAPAP","1","","","","","","","",""
"33","VALV P","1","","","","","","","",""
