"PRODCOD","PRODDES","PRODPRE","TIPCOD","PRODSEX","PRODSTO","SUBTIPCOD","PRODSINI","PRODEST","PRODCOM","","","","","","","",""
"01","","381","F","","0","FF","79","I","P","","","","","","","",""
"02","CARO. HERRE 212 50 ML","381","F","FEMENINO","215","FF","-22","A","P","","","","","","","",""
"020","212 SEXI 50 ML","381","F","FEMENINO","272","FF","0","A","P","","","","","","","",""
"04","ANGEL 50 ML","381","F","FEMENINO","215","FF","83","A","P","","","","","","","",""
"05","CHANEL N 5 50 ML","381","F","FEMENINO","320","FF","40","A","P","","","","","","","",""
"07","CABOTINE 50 ML","381","F","FEMENINO","181","FF","209","A","P","","","","","","","",""
"08","ORGANZA 50 ML","381","F","FEMENINO","123","FF","158","A","P","","","","","","","",""
"080","C HERRERA 212 53 ML","241","I","FEMENINO","397","01","1120","A","P","","","","","","","",""
"081","CHANEL 53 ML","241","I","FEMENINO","441","01","826","A","P","","","","","","","",""
"083","KENZO FLOWER 53 ML","241","I","FEMENINO","533","01","1090","A","P","","","","","","","",""
"084","","241","I","FEMENINO","0","01","1050","I","P","","","","","","","",""
"085","VERY IRRESISTIBLE 53 ML","241","I","FEMENINO","289","01","848","A","P","","","","","","","",""
"086","C.H. 212 SEXI 53 ML","241","I","FEMENINO","320","01","819","A","P","","","","","","","",""
"087","","241","I","FEMENINO","0","01","837","A","P","","","","","","","",""
"088","","241","I","","0","01","824","A","P","","","","","","","",""
"089","EDEN 53 ML","241","I","FEMENINO","134","01","1223","A","P","","","","","","","",""
"09","","381","F","FEMENINO","0","FF","336","A","P","","","","","","","",""
"090","ORGANZA 53 ML","241","I","FEMENINO","160","01","1115","A","P","","","","","","","",""
"091","AMOR AMOR 53 ML","241","I","FEMENINO","244","01","410","A","P","","","","","","","",""
"092","","241","I","FEMENINO","0","01","1195","I","P","","","","","","","",""
"095","HALLOWEEN 53 ML","241","I","FEMENINO","170","01","717","A","P","","","","","","","",""
"098","ANGEL & DEMONIO 53 ML","241","I","FEMENINO","121","01","0","A","P","","","","","","","",""
"099","C.H. DE CAR HERRERA 53 ML","241","I","FEMENINO","168","01","0","A","P","","","","","","","",""
"10","KENZO FLOWERS 50 ML","381","F","FEMENINO","352","FF","81","A","P","","","","","","","",""
"11","","381","F","FEMENINO","0","FF","84","I","P","","","","","","","",""
"12","","381","F","FEMENINO","0","FF","216","A","P","","","","","","","",""
"13","","381","F","FEMENINO","0","FF","139","A","P","","","","","","","",""
"14","CAROLINA HERRERA 50 ML","381","F","FEMENINO","285","FF","-18","A","P","","","","","","","",""
"15","","381","F","FEMENINO","0","FF","214","A","P","","","","","","","",""
"16","EDEN 50 ML","381","F","FEMENINO","234","FF","121","A","P","","","","","","","",""
"18","AMOR AMOR 50 ML","381","F","FEMENINO","116","FF","0","A","P","","","","","","","",""
"19","","381","F","FEMENINO","0","FF","0","A","P","","","","","","","",""
"20","","381","F","MASCULINO","0","FM","158","I","P","","","","","","","",""
"200","IVA","0","L","","491","L","1345","A","P","","","","","","","",""
"201","ESTUCHE REGALO HOMBRE","300","K","MASCULINO","53","601","1364","A","P","","","","","","","",""
"21","CALVIN KLEIN ONE 50 ML","381","F","MASCULINO","253","FM","159","A","P","","","","","","","",""
"22","KENZO 50 ML","381","F","MASCULINO","345","FM","284","A","P","","","","","","","",""
"23","POLO SPORT 50 ML","381","F","MASCULINO","211","FM","112","A","P","","","","","","","",""
"24","","381","F","MASCULINO","0","FM","185","A","P","","","","","","","",""
"25","CARO HERRERA 212 50 ML","381","F","MASCULINO","315","FM","68","A","P","","","","","","","",""
"26","GIVENCHY GENTLEMANT 50 ML","381","F","MASCULINO","226","FM","45","A","P","","","","","","","",""
"27","","381","F","MASCULINO","0","FM","100","A","P","","","","","","","",""
"28","","381","F","MASCULINO","0","FM","164","I","P","","","","","","","",""
"29","","381","F","MASCULINO","0","FM","252","A","P","","","","","","","",""
"30","","381","F","MASCULINO","0","FM","284","A","P","","","","","","","",""
"31","CARO HERR.FOR MEN 50 ML","381","F","MASCULINO","156","FM","257","A","P","","","","","","","",""
"32","","381","F","MASCULINO","0","FM","188","A","P","","","","","","","",""
"33","","381","F","MASCULINO","0","FM","349","A","P","","","","","","","",""
"401","C.K.ONE 53 ML","241","I","MASCULINO","394","02","1108","A","P","","","","","","","",""
"402","KENZO 53 ML","241","I","MASCULINO","594","02","1377","A","P","","","","","","","",""
"403","CARR.HERRERA 212 53 ML","241","I","MASCULINO","253","02","1243","A","P","","","","","","","",""
"404","","241","I","MASCULINO","0","02","1383","I","P","","","","","","","",""
"407","GIVENCHI GENTLEMAN 53 ML","241","I","MASCULINO","220","02","1410","A","P","","","","","","","",""
