"REMNUM","PRODCOD","REMCAN","REMPRE","","","","","","","",""
"2190","1070","3","25.9","","","","","","","",""
"2190","1071","3","25.9","","","","","","","",""
"2190","1072","3","25.9","","","","","","","",""
"2190","1074","3","25.9","","","","","","","",""
"2190","1075","3","25.9","","","","","","","",""
"2190","1076","3","25.9","","","","","","","",""
"2190","1078","3","25.9","","","","","","","",""
"2190","1079","3","25.9","","","","","","","",""
"2190","1202","18","34.9","","","","","","","",""
"2190","1206","6","34.9","","","","","","","",""
"8540","114","2","59.9","","","","","","","",""
"8540","1212","4","76.99","","","","","","","",""
"8540","1220","2","76.99","","","","","","","",""
"8540","2002","5","627.84","","","","","","","",""
"8540","78","2","59.9","","","","","","","",""
"8541","650","6","67.55","","","","","","","",""
"8541","672","6","67.55","","","","","","","",""
"8541","674","6","67.55","","","","","","","",""
"8542","034","2","145.47","","","","","","","",""
"8542","1216","2","76.99","","","","","","","",""
"8542","1251","2","76.99","","","","","","","",""
"8542","2002","4","627.84","","","","","","","",""
"8542","2050","1","907.2","","","","","","","",""
"8543","656","6","67.55","","","","","","","",""
"8543","657","6","67.55","","","","","","","",""
"8543","666","6","67.55","","","","","","","",""
"8543","670","6","67.55","","","","","","","",""
"8543","675","6","67.55","","","","","","","",""
"8544","1201","2","76.99","","","","","","","",""
"8544","1203","2","76.99","","","","","","","",""
"8544","1207","3","76.99","","","","","","","",""
"8544","1213","2","76.99","","","","","","","",""
"8544","1220","3","76.99","","","","","","","",""
"8544","1224","2","76.99","","","","","","","",""
"8544","1250","2","76.99","","","","","","","",""
"8544","1254","2","76.99","","","","","","","",""
"8544","2002","1","627.84","","","","","","","",""
"8544","2050","1","907.2","","","","","","","",""
"8544","99","2","59.9","","","","","","","",""
"8545","650","6","67.55","","","","","","","",""
"8546","0100","2","109.5","","","","","","","",""
"8546","0105","2","109.5","","","","","","","",""
"8546","080","2","109.5","","","","","","","",""
"8546","083","2","109.5","","","","","","","",""
"8546","085","2","109.5","","","","","","","",""
"8546","086","2","109.5","","","","","","","",""
"8546","090","2","109.5","","","","","","","",""
"8546","091","2","109.5","","","","","","","",""
"8546","092","2","109.5","","","","","","","",""
"8546","198","1","206.96","","","","","","","",""
"8546","401","2","109.5","","","","","","","",""
"8546","402","2","109.5","","","","","","","",""
"8546","403","2","109.5","","","","","","","",""
"8546","410","2","109.5","","","","","","","",""
"8546","419","2","109.5","","","","","","","",""
"8547","404","1","109.5","","","","","","","",""
"8548","0100","18","109.5","","","","","","","",""
"8548","0104","18","109.5","","","","","","","",""
"8548","0114","24","109.5","","","","","","","",""
"8548","0115","24","109.5","","","","","","","",""
"8548","086","18","109.5","","","","","","","",""
"8548","091","6","109.5","","","","","","","",""
"8548","198","1","919.83","","","","","","","",""
"8548","413","24","109.5","","","","","","","",""
"8548","422","12","109.5","","","","","","","",""
"8548","425","24","109.5","","","","","","","",""
"8549","020","1","186.5","","","","","","","",""
"8549","07","1","186.5","","","","","","","",""
"8549","10","3","186.5","","","","","","","",""
"8549","1254","2","98.7","","","","","","","",""
"8549","16","1","186.5","","","","","","","",""
"8549","22","2","186.5","","","","","","","",""
"8549","23","1","186.5","","","","","","","",""
"8549","25","2","186.5","","","","","","","",""
"8549","27","2","186.5","","","","","","","",""
"8549","40","2","186.5","","","","","","","",""
"8549","43","2","186.5","","","","","","","",""
"8549","44","2","186.5","","","","","","","",""
"8549","45","1","186.5","","","","","","","",""
"8549","46","2","186.5","","","","","","","",""
"8550","670","2","73","","","","","","","",""
"8549","198","1","933.74","","","","","","","",""
"8551","2002","1","627.84","","","","","","","",""
"8552","2002","1","627.84","","","","","","","",""
"8553","659","6","67.55","","","","","","","",""
"8553","660","6","67.55","","","","","","","",""
"8553","662","6","67.55","","","","","","","",""
"8554","198","1","2522.1","","","","","","","",""
"8554","LL","500","24.02","","","","","","","",""
"8555","114","2","76.8","","","","","","","",""
"8555","1224","1","98.7","","","","","","","",""
"8555","1226","1","98.7","","","","","","","",""
"8555","1254","1","98.7","","","","","","","",""
"8556","666","1","73","","","","","","","",""
"8557","100","5","76.8","","","","","","","",""
"8557","101","10","76.8","","","","","","","",""
"8557","105","5","76.8","","","","","","","",""
"8557","114","5","76.8","","","","","","","",""
"8557","116","5","76.8","","","","","","","",""
"8557","192","5","76.8","","","","","","","",""
"8557","195","5","76.8","","","","","","","",""
"8557","196","5","76.8","","","","","","","",""
"8557","72","5","76.8","","","","","","","",""
"8557","74","5","76.8","","","","","","","",""
"8557","75","5","76.8","","","","","","","",""
"8557","78","5","76.8","","","","","","","",""
"8557","86","5","76.8","","","","","","","",""
"8558","650","6","73","","","","","","","",""
"8558","652","6","73","","","","","","","",""
"8558","656","6","73","","","","","","","",""
"8558","660","6","73","","","","","","","",""
"8558","665","6","73","","","","","","","",""
"8558","671","6","73","","","","","","","",""
"8558","673","6","73","","","","","","","",""
"8558","674","6","73","","","","","","","",""
"8557","198","1","300.05","","","","","","","",""
"8559","101","1","76.8","","","","","","","",""
"8559","104","1","76.8","","","","","","","",""
