"REMNUM","REMFEC","USUCOD","ESTCOD","VENCOD","REMPED","REMFACNUM","CLICOD","REMPAGNUM","REMLIQNUM","REMDES","REMFACLET","REMEMI","REMFACPV","","","","","","","",""
"8540","20190103","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8541","20190103","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8542","20190103","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8543","20190103","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8544","20190103","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8545","20190103","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8546","20190103","1","Q","20","0","0","758","6092","0","0","","E","NaN","","","","","","","",""
"8547","20190103","1","Q","145","0","0","37","5992","0","0","","E","NaN","","","","","","","",""
"8548","20190103","1","Q","104","0","0","630","5975","0","0","","E","NaN","","","","","","","",""
"8549","20190103","1","Q","145","0","0","946","6057","0","0","","E","NaN","","","","","","","",""
"8550","20190103","1","Q","145","0","0","946","6057","0","0","","E","NaN","","","","","","","",""
"8551","20190103","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8552","20190103","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8553","20190103","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8554","20190103","1","Q","4","0","0","1657","6025","0","0","","E","NaN","","","","","","","",""
"8555","20190103","1","Q","144","0","0","1753","5928","0","0","","E","NaN","","","","","","","",""
"8556","20190103","1","Q","144","0","0","1753","5928","0","0","","E","NaN","","","","","","","",""
"8557","20190103","1","Q","4","0","0","1651","5961","0","0","","E","NaN","","","","","","","",""
"8558","20190103","1","Q","4","0","0","1651","5961","0","0","","E","NaN","","","","","","","",""
"8559","20190103","1","Q","144","0","0","1756","5934","0","0","","E","NaN","","","","","","","",""
"8560","20190103","1","Q","4","0","0","1471","6018","0","0","","E","NaN","","","","","","","",""
"8561","20190103","1","Q","4","0","0","1471","6018","0","0","","E","NaN","","","","","","","",""
"8562","20190104","1","Q","4","0","0","1760","6102","0","0","","E","NaN","","","","","","","",""
"8563","20190104","1","Q","4","0","0","1760","6102","0","0","","E","NaN","","","","","","","",""
"8564","20190104","1","Q","4","0","0","409","5962","0","0","","E","NaN","","","","","","","",""
"8565","20190104","1","Q","4","0","0","409","5962","0","0","","E","NaN","","","","","","","",""
"8566","20190104","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8567","20190104","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8568","20190104","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8569","20190104","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8570","20190104","1","Q","4","0","0","1471","6018","0","0","","E","NaN","","","","","","","",""
"8571","20190104","1","Q","4","0","0","1471","6018","0","0","","E","NaN","","","","","","","",""
"8572","20190104","1","Q","27","0","0","1234","5938","0","0","","E","NaN","","","","","","","",""
"8573","20190104","1","Q","4","0","0","33","6022","0","0","","E","NaN","","","","","","","",""
"8574","20190104","1","Q","4","0","0","1729","5946","0","0","","E","NaN","","","","","","","",""
"8575","20190104","1","Q","4","0","0","1729","5946","0","0","","E","NaN","","","","","","","",""
"8576","20190107","1","Q","145","0","0","209","5949","0","0","","E","NaN","","","","","","","",""
"8577","20190107","1","Q","145","0","0","209","5949","0","0","","E","NaN","","","","","","","",""
"8578","20190107","1","Q","4","0","0","1758","5947","0","0","","E","NaN","","","","","","","",""
"8579","20190107","1","Q","145","0","0","37","5992","0","0","","E","NaN","","","","","","","",""
"8580","20190107","1","Q","145","0","0","1000","5948","0","0","","E","NaN","","","","","","","",""
"8581","20190107","1","Q","4","0","0","1735","5965","0","0","","E","NaN","","","","","","","",""
"8582","20190107","1","Q","4","0","0","1222","5954","0","0","","E","NaN","","","","","","","",""
"8583","20190107","1","Q","4","0","0","1222","5954","0","0","","E","NaN","","","","","","","",""
"8584","20190107","1","Q","139","0","0","1327","6348","0","0","","E","NaN","","","","","","","",""
"8585","20190107","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8586","20190107","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8587","20190107","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8588","20190107","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8589","20190108","1","Q","4","0","0","1270","5952","0","0","","E","NaN","","","","","","","",""
"8590","20190108","1","Q","4","0","0","1270","5952","0","0","","E","NaN","","","","","","","",""
"8591","20190108","1","Q","4","0","0","1221","5951","0","0","","E","NaN","","","","","","","",""
"8592","20190108","1","Q","4","0","0","1221","5951","0","0","","E","NaN","","","","","","","",""
"8593","20190108","1","Q","146","0","0","1186","6435","0","0","","E","NaN","","","","","","","",""
"8594","20190108","1","Q","4","0","0","1571","6014","0","0","","E","NaN","","","","","","","",""
"8595","20190108","1","Q","4","0","0","1571","6014","0","0","","E","NaN","","","","","","","",""
"8596","20190108","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8597","20190108","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8598","20190108","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8599","20190108","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8600","20190109","1","Q","146","0","0","1663","6145","0","0","","E","NaN","","","","","","","",""
"8601","20190109","1","Q","146","0","0","1663","6145","0","0","","E","NaN","","","","","","","",""
"8602","20190109","1","Q","4","0","0","1471","6018","0","0","","E","NaN","","","","","","","",""
"8603","20190109","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8604","20190109","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8605","20190109","1","Q","143","0","0","658","5953","0","0","","E","NaN","","","","","","","",""
"8606","20190109","1","Q","143","0","0","658","5953","0","0","","E","NaN","","","","","","","",""
"8607","20190109","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8608","20190109","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8609","20190109","1","Q","144","0","0","1641","5956","0","0","","E","NaN","","","","","","","",""
"8610","20190109","1","Q","144","0","0","1641","5956","0","0","","E","NaN","","","","","","","",""
"8611","20190109","1","Q","144","0","0","1707","5966","0","0","","E","NaN","","","","","","","",""
"8612","20190109","1","Q","144","0","0","1707","5966","0","0","","E","NaN","","","","","","","",""
"8613","20190109","1","Q","4","0","0","1471","6018","0","0","","E","NaN","","","","","","","",""
"8614","20190110","1","Q","146","0","0","1187","6146","0","0","","E","NaN","","","","","","","",""
"8615","20190110","1","Q","146","0","0","1187","6146","0","0","","E","NaN","","","","","","","",""
"8616","20190110","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8617","20190110","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8618","20190110","1","Q","4","0","0","1499","6015","0","0","","E","NaN","","","","","","","",""
"8619","20190110","1","Q","4","0","0","1499","6015","0","0","","E","NaN","","","","","","","",""
"8620","20190110","1","Q","146","0","0","1615","6283","0","0","","E","NaN","","","","","","","",""
"8621","20190110","1","Q","146","0","0","1615","6283","0","0","","E","NaN","","","","","","","",""
"8622","20190111","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8623","20190111","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8624","20190111","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8625","20190111","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8626","20190111","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8627","20190114","1","Q","145","0","0","37","5992","0","0","","E","NaN","","","","","","","",""
"8628","20190114","1","Q","4","0","0","1445","5963","0","0","","E","NaN","","","","","","","",""
"8629","20190114","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8630","20190114","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8631","20190114","1","Q","4","0","0","1471","6018","0","0","","E","NaN","","","","","","","",""
"8632","20190114","1","Q","4","0","0","1471","6018","0","0","","E","NaN","","","","","","","",""
"8633","20190114","1","Q","4","0","0","1333","5974","0","0","","E","NaN","","","","","","","",""
"8634","20190114","1","Q","4","0","0","1735","6029","0","0","","E","NaN","","","","","","","",""
"8635","20190114","1","Q","20","0","0","1733","6096","0","0","","E","NaN","","","","","","","",""
"8636","20190114","1","Q","20","0","0","1733","6096","0","0","","E","NaN","","","","","","","",""
"8637","20190115","1","Q","20","0","0","1722","6101","0","0","","E","NaN","","","","","","","",""
"8638","20190115","1","Q","20","0","0","1722","6101","0","0","","E","NaN","","","","","","","",""
"8639","20190115","1","Q","20","0","0","887","6044","0","0","","E","NaN","","","","","","","",""
"8640","20190115","1","Q","20","0","0","887","6044","0","0","","E","NaN","","","","","","","",""
"8641","20190115","1","Q","20","0","0","17","6100","0","0","","E","NaN","","","","","","","",""
"8642","20190115","1","Q","20","0","0","17","6100","0","0","","E","NaN","","","","","","","",""
"8643","20190115","1","Q","20","0","0","990","6098","0","0","","E","NaN","","","","","","","",""
"8644","20190115","1","Q","20","0","0","990","6098","0","0","","E","NaN","","","","","","","",""
"8645","20190115","1","Q","20","0","0","1732","6043","0","0","","E","NaN","","","","","","","",""
"8646","20190115","1","Q","20","0","0","1732","6043","0","0","","E","NaN","","","","","","","",""
"8647","20190115","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8648","20190115","1","Q","20","0","0","1085","6097","0","0","","E","NaN","","","","","","","",""
"8649","20190115","1","Q","20","0","0","1085","6097","0","0","","E","NaN","","","","","","","",""
"8650","20190115","1","Q","20","0","816","943","6108","0","0","E","E","NaN","","","","","","","",""
"8651","20190115","1","Q","20","0","815","943","6108","0","0","E","E","NaN","","","","","","","",""
"8652","20190115","1","Q","20","0","818","944","6107","0","0","E","E","NaN","","","","","","","",""
"8653","20190115","1","Q","20","0","817","944","6107","0","0","E","E","NaN","","","","","","","",""
"8654","20190115","1","Q","20","0","0","945","6099","0","0","","E","NaN","","","","","","","",""
"8655","20190115","1","Q","20","0","0","945","6099","0","0","","E","NaN","","","","","","","",""
"8656","20190116","1","Q","4","0","0","185","6064","0","0","","E","NaN","","","","","","","",""
"8657","20190116","1","Q","4","0","0","185","6136","0","0","","E","NaN","","","","","","","",""
"8658","20190116","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8659","20190116","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8660","20190116","1","Q","143","0","0","1761","5991","0","0","","E","NaN","","","","","","","",""
"8661","20190116","1","Q","4","0","0","1109","6008","0","0","","E","NaN","","","","","","","",""
"8662","20190116","1","Q","112","0","0","632","6221","0","0","","E","NaN","","","","","","","",""
"8663","20190117","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8664","20190117","1","Q","4","0","0","1752","5983","0","0","","E","NaN","","","","","","","",""
"8665","20190117","1","A","4","0","0","1","0","0","0","","E","NaN","","","","","","","",""
"8666","20190117","1","A","4","0","0","1443","0","0","0","","E","NaN","","","","","","","",""
"8667","20190117","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8668","20190117","1","Q","4","0","0","1762","5979","0","0","","E","NaN","","","","","","","",""
"8669","20190117","1","Q","4","0","0","1762","5979","0","0","","E","NaN","","","","","","","",""
"8670","20190117","1","Q","144","0","0","1648","5977","0","0","","E","NaN","","","","","","","",""
"8671","20190117","1","Q","144","0","0","1648","5977","0","0","","E","NaN","","","","","","","",""
"8672","20190117","1","Q","4","0","0","1729","5980","0","0","","E","NaN","","","","","","","",""
"8673","20190118","1","Q","112","0","0","622","6222","0","0","","E","NaN","","","","","","","",""
"8674","20190118","1","Q","4","0","0","1536","6024","0","0","","E","NaN","","","","","","","",""
"8675","20190118","1","Q","4","0","0","1657","6025","0","0","","E","NaN","","","","","","","",""
"8676","20190118","1","Q","146","0","0","1161","6501","0","0","","E","NaN","","","","","","","",""
"8677","20190118","1","Q","4","0","0","1708","6009","0","0","","E","NaN","","","","","","","",""
"8678","20190118","1","Q","4","0","0","1471","6018","0","0","","E","NaN","","","","","","","",""
"8679","20190118","1","Q","4","0","0","1471","6018","0","0","","E","NaN","","","","","","","",""
"8680","20190118","1","A","4","0","0","1443","0","0","0","","E","NaN","","","","","","","",""
"8681","20190118","1","A","4","0","0","1443","0","0","0","","E","NaN","","","","","","","",""
"8682","20190118","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8683","20190118","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8684","20190118","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8685","20190118","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8686","20190121","1","Q","145","0","0","37","5992","0","0","","E","NaN","","","","","","","",""
"8687","20190121","1","Q","4","0","0","1469","6027","0","0","","E","NaN","","","","","","","",""
"8688","20190121","1","Q","4","0","0","1469","6027","0","0","","E","NaN","","","","","","","",""
"8689","20190121","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8690","20190121","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8691","20190121","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8692","20190121","1","Q","142","0","0","1450","6197","0","0","","E","NaN","","","","","","","",""
"8693","20190121","1","Q","4","0","0","1729","5990","0","0","","E","NaN","","","","","","","",""
"8694","20190122","1","Q","20","0","0","1035","6109","0","0","","E","NaN","","","","","","","",""
"8695","20190122","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8696","20190122","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8697","20190122","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8698","20190122","1","Q","4","0","0","1499","6015","0","0","","E","NaN","","","","","","","",""
"8699","20190122","1","Q","4","0","0","1499","6090","0","0","","E","NaN","","","","","","","",""
"8700","20190123","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8701","20190123","1","A","4","0","0","83","0","0","0","","E","NaN","","","","","","","",""
"8702","20190123","1","Q","146","0","0","1689","6502","0","0","","E","NaN","","","","","","","",""
"8703","20190123","1","Q","146","0","0","1689","6502","0","0","","E","NaN","","","","","","","",""
"8704","20190123","1","Q","20","0","0","803","6302","0","0","","E","NaN","","","","","","","",""
"8705","20190123","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8706","20190123","1","Q","4","0","0","1443","6017","0","0","","E","NaN","","","","","","","",""
"8707","20190123","1","Q","4","0","0","1471","6018","0","0","","E","NaN","","","","","","","",""
"8708","20190123","1","Q","4","0","0","1471","6018","0","0","","E","NaN","","","","","","","",""
"8709","20190123","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8710","20190123","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
"8711","20190124","1","Q","20","0","0","78","6151","0","0","","E","NaN","","","","","","","",""
"8712","20190124","1","Q","20","0","0","714","6006","0","0","","E","NaN","","","","","","","",""
"8713","20190124","1","Q","20","0","0","885","6238","0","0","","E","NaN","","","","","","","",""
"8714","20190124","1","Q","20","0","0","885","6238","0","0","","E","NaN","","","","","","","",""
"8715","20190124","1","Q","4","0","0","1204","6153","0","0","","E","NaN","","","","","","","",""
"8716","20190124","1","Q","4","0","0","1729","5997","0","0","","E","NaN","","","","","","","",""
"8717","20190124","1","Q","4","0","0","1729","5997","0","0","","E","NaN","","","","","","","",""
"8718","20190125","1","Q","103","0","0","1515","6154","0","0","","E","NaN","","","","","","","",""
"8719","20190125","1","Q","4","0","0","1238","6021","0","0","","E","NaN","","","","","","","",""
