"VENCOD","CLICOD","","","","","","","",""
"4","33","","","","","","","",""
"4","80","","","","","","","",""
"4","86","","","","","","","",""
"4","100","","","","","","","",""
"10","155","","","","","","","",""
"4","115","","","","","","","",""
"4","126","","","","","","","",""
"4","128","","","","","","","",""
"4","129","","","","","","","",""
"4","130","","","","","","","",""
"4","133","","","","","","","",""
"4","134","","","","","","","",""
"4","135","","","","","","","",""
"4","136","","","","","","","",""
"4","137","","","","","","","",""
"4","139","","","","","","","",""
"4","141","","","","","","","",""
"4","142","","","","","","","",""
"4","143","","","","","","","",""
"4","144","","","","","","","",""
"4","145","","","","","","","",""
"4","146","","","","","","","",""
"4","147","","","","","","","",""
"4","148","","","","","","","",""
"4","149","","","","","","","",""
"4","167","","","","","","","",""
"20","179","","","","","","","",""
"20","182","","","","","","","",""
"4","175","","","","","","","",""
"4","176","","","","","","","",""
"4","181","","","","","","","",""
"20","183","","","","","","","",""
"20","188","","","","","","","",""
"4","1","","","","","","","",""
"4","193","","","","","","","",""
"20","196","","","","","","","",""
"3","199","","","","","","","",""
"3","201","","","","","","","",""
"3","202","","","","","","","",""
"3","203","","","","","","","",""
"20","205","","","","","","","",""
"4","206","","","","","","","",""
"4","207","","","","","","","",""
"23","210","","","","","","","",""
"4","214","","","","","","","",""
"24","216","","","","","","","",""
"24","217","","","","","","","",""
"25","221","","","","","","","",""
"25","223","","","","","","","",""
"25","224","","","","","","","",""
"25","225","","","","","","","",""
"25","227","","","","","","","",""
"24","229","","","","","","","",""
"25","231","","","","","","","",""
"25","230","","","","","","","",""
"24","233","","","","","","","",""
"24","234","","","","","","","",""
"24","235","","","","","","","",""
"4","239","","","","","","","",""
"25","240","","","","","","","",""
"25","241","","","","","","","",""
"25","242","","","","","","","",""
"25","243","","","","","","","",""
"4","246","","","","","","","",""
"4","249","","","","","","","",""
"11","208","","","","","","","",""
"3","154","","","","","","","",""
"20","257","","","","","","","",""
"21","259","","","","","","","",""
"11","260","","","","","","","",""
"23","266","","","","","","","",""
"25","264","","","","","","","",""
"3","261","","","","","","","",""
